Date,Shadow Value,Market Value,Equity Curve
2007-04-05,23349.79,23349.79,19651.30
2007-04-12,23453.75,23453.75,19757.03
2007-04-19,23327.34,23327.34,19850.23
2007-04-26,23518.53,23518.53,19946.41
2007-05-03,23749.17,23749.17,20065.17
2007-05-10,23522.54,23522.54,20184.37
2007-05-17,23911.01,23911.01,20312.08
2007-05-24,23804.59,23804.59,20453.90
2007-05-31,24149.76,24149.76,20596.97
2007-06-07,23519.52,23519.52,20728.97
2007-06-14,24141.01,24141.01,20863.78
2007-06-21,24462.74,24462.74,21001.49
2007-06-28,24004.55,24004.55,21140.84
2007-07-05,24333.85,24333.85,21285.84
2007-07-12,24959.82,24959.82,21432.07
2007-07-19,24729.29,24729.29,21571.46
2007-07-26,23623.39,23623.39,21684.95
2007-08-02,23652.06,23652.06,21796.82
2007-08-09,23274.43,23274.43,21902.64
2007-08-16,21823.60,21823.60,21973.51
2007-08-23,23067.39,21793.60,22070.57
2007-08-30,21554.00,21554.00,22137.02
2007-09-06,21965.93,21524.00,22210.19
2007-09-13,22248.15,21524.00,22285.77
2007-09-20,22479.72,21524.00,22359.67
2007-09-27,22436.53,22436.53,22428.28
2007-10-04,22785.81,22785.81,22500.47
2007-10-11,23142.80,23142.80,22570.70
2007-10-18,22953.63,22953.63,22636.30
2007-10-25,22574.23,22574.23,22687.75
2007-11-01,22888.59,22544.23,22740.99
2007-11-08,22291.98,22291.98,22778.01
2007-11-15,22047.02,22261.98,22801.33
2007-11-21,21480.87,22261.98,22806.26
2007-11-29,22476.44,22261.98,22827.17
2007-12-06,23087.62,22261.98,22876.35
2007-12-13,21478.22,21478.22,22884.76
2007-12-20,20668.40,21448.22,22870.35
2007-12-27,21216.82,21448.22,22874.19
2008-01-03,21349.16,21448.22,22869.69
2008-01-10,21808.80,21448.22,22869.09
2008-01-17,20165.42,21448.22,22826.81
2008-01-24,20182.08,21448.22,22773.83
2008-01-31,20545.86,21448.22,22724.32
2008-02-07,20079.18,21448.22,22662.42
2008-02-14,20454.54,21448.22,22643.38
2008-02-21,20307.58,21448.22,22611.10
2008-02-28,20568.56,21448.22,22587.87
2008-03-06,19474.02,21448.22,22518.90
2008-03-13,19210.86,21448.22,22446.02
2008-03-20,19116.76,21448.22,22361.36
2008-03-27,19852.10,21448.22,22289.33
